"filename", "language", "JSON with Comments", "Properties", "SCSS", "CSS", "JavaScript", "XML", "Markdown", "JSON", "comment", "blank", "total"
"f:\root\programming\gazi-yapay-zeka-test1\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"f:\root\programming\gazi-yapay-zeka-test1\public\youtube.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"f:\root\programming\gazi-yapay-zeka-test1\store\actions\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\root\programming\gazi-yapay-zeka-test1\store\actions\userActions.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"f:\root\programming\gazi-yapay-zeka-test1\store\reducers\currentUser.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"f:\root\programming\gazi-yapay-zeka-test1\store\store.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 2, 4, 17
"f:\root\programming\gazi-yapay-zeka-test1\styles\Admin.module.scss", "SCSS", 0, 0, 375, 0, 0, 0, 0, 0, 0, 7, 382
"f:\root\programming\gazi-yapay-zeka-test1\styles\ChangePassword.module.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"f:\root\programming\gazi-yapay-zeka-test1\styles\Events.module.scss", "SCSS", 0, 0, 210, 0, 0, 0, 0, 0, 1, 7, 218
"f:\root\programming\gazi-yapay-zeka-test1\styles\Home.module.css", "CSS", 0, 0, 0, 112, 0, 0, 0, 0, 0, 18, 130
"f:\root\programming\gazi-yapay-zeka-test1\styles\Home.module.scss", "SCSS", 0, 0, 923, 0, 0, 0, 0, 0, 9, 8, 940
"f:\root\programming\gazi-yapay-zeka-test1\styles\NewPost.module.scss", "SCSS", 0, 0, 61, 0, 0, 0, 0, 0, 1, 4, 66
"f:\root\programming\gazi-yapay-zeka-test1\styles\News.module.scss", "SCSS", 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"f:\root\programming\gazi-yapay-zeka-test1\styles\SingleNews.module.scss", "SCSS", 0, 0, 228, 0, 0, 0, 0, 0, 3, 3, 234
"f:\root\programming\gazi-yapay-zeka-test1\styles\globals.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"f:\root\programming\gazi-yapay-zeka-test1\styles\globals.scss", "SCSS", 0, 0, 35, 0, 0, 0, 0, 0, 57, 21, 113
"f:\root\programming\gazi-yapay-zeka-test1\styles\login.module.scss", "SCSS", 0, 0, 387, 0, 0, 0, 0, 0, 13, 11, 411
"Total", "-", 3, 22, 2664, 139, 2489, 5056, 20, 13628, 190, 353, 24564
